A,B,C,D,AB,AC,BC,AD,BD,CD,ABC,ABD,ACD,BCD,topology
15631.362260452977,37270.33705970711,15631.362260452977,16182.521561743244,0.0,551.1593012902665,0.0,0.0,0.0,0.0,0.0,0.0,21087.815497963868,0.0,"(((A,C),D),B)"
11405.120576178935,11405.120576178935,13703.793033082327,13168.450475562251,1763.329899383316,0.0,0.0,0.0,0.0,0.0,0.0,535.3425575200766,0.0,0.0,"(((A,B),D),C)"
11711.843224091534,13046.020054425975,11711.843224091534,13518.13594254712,0.0,1334.176830334441,0.0,0.0,0.0,0.0,472.11588812114513,0.0,0.0,0.0,"(((A,C),B),D)"
12754.373625139946,20026.97102059271,12059.467280161318,12059.467280161318,0.0,0.0,0.0,0.0,0.0,694.9063449786277,0.0,0.0,7272.597395452765,0.0,"(((C,D),A),B)"
16323.950102043318,10335.059695487924,10335.059695487924,30273.669525062316,0.0,0.0,5988.890406555394,0.0,0.0,0.0,13949.719423019,0.0,0.0,0.0,"(((B,C),A),D)"
20197.36780441923,20840.606318425143,15227.1007466302,15227.1007466302,0.0,0.0,0.0,0.0,0.0,4970.26705778903,0.0,0.0,643.2385140059138,0.0,"(((C,D),A),B)"
19751.77609804655,23582.94807901665,19542.796778128162,19542.796778128162,0.0,0.0,0.0,0.0,0.0,208.97931991838843,0.0,0.0,3831.171980970099,0.0,"(((C,D),A),B)"
23334.91527767598,15903.013713084325,15903.013713084325,23334.91527767598,0.0,0.0,9691.7622816979,2259.8607171062454,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
10225.541073007127,10225.541073007127,13680.496633385672,18636.54666553057,3454.955560378546,0.0,0.0,0.0,0.0,0.0,4956.050032144902,0.0,0.0,0.0,"(((A,B),C),D)"
11885.566788129046,12532.226678974785,12532.226678974785,11885.566788129046,0.0,0.0,9719.802757350884,10366.462648196622,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
13599.730486535847,36672.74551790388,13152.577287379052,13152.577287379052,0.0,0.0,0.0,0.0,0.0,447.1531991567951,0.0,0.0,23073.015031368035,0.0,"(((C,D),A),B)"
16896.201657340185,20835.99105565421,20835.99105565421,16896.201657340185,0.0,0.0,9678.992759745948,13618.78215805997,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
12135.273417837909,14904.078624678275,23875.494387552488,12135.273417837909,0.0,0.0,0.0,2768.805206840367,0.0,0.0,0.0,8971.415762874212,0.0,0.0,"(((A,D),B),C)"
20511.653591639533,18307.83284821358,25084.35663395533,18307.83284821358,0.0,0.0,0.0,0.0,2203.820743425953,0.0,0.0,4572.703042315798,0.0,0.0,"(((B,D),A),C)"
14212.685774401903,11065.794560614666,11065.794560614666,13607.852817454062,0.0,0.0,2542.0582568393966,0.0,0.0,0.0,0.0,0.0,0.0,604.8329569478402,"(((B,C),D),A)"
11277.526373359417,11277.526373359417,20131.024612597903,11818.9131939321,541.3868205726827,0.0,0.0,0.0,0.0,0.0,0.0,8312.111418665801,0.0,0.0,"(((A,B),D),C)"
13107.896587752659,16152.863226551357,16152.863226551357,13107.896587752659,0.0,0.0,12749.848465225274,15794.815104023972,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
17161.079803105815,10768.17533551524,10768.17533551524,13806.432998725817,0.0,0.0,3038.257663210579,0.0,0.0,0.0,0.0,0.0,0.0,3354.646804379998,"(((B,C),D),A)"
14282.851878196943,12519.548260785403,12519.548260785403,18205.81270337726,0.0,0.0,1763.3036174115398,0.0,0.0,0.0,3922.9608251803193,0.0,0.0,0.0,"(((B,C),A),D)"
15518.56116378808,11633.61209643371,11633.61209643371,18770.57907612698,0.0,0.0,3884.9490673543705,0.0,0.0,0.0,3252.0179123389007,0.0,0.0,0.0,"(((B,C),A),D)"
11850.49636575812,19107.001407595664,25849.08484610846,11850.49636575812,0.0,0.0,0.0,7256.505041837547,0.0,0.0,0.0,6742.083438512798,0.0,0.0,"(((A,D),B),C)"
12487.591012758427,16958.0145307666,16958.0145307666,12487.591012758427,0.0,0.0,10961.382129930906,15431.80564793908,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
11758.653345364855,11381.818687387999,20775.414139914676,11381.818687387999,0.0,0.0,0.0,0.0,376.83465797685716,0.0,0.0,9016.760794549822,0.0,0.0,"(((B,D),A),C)"
14884.861286128013,42715.38896616612,17352.920379319985,14884.861286128013,0.0,0.0,0.0,2468.0590931919714,0.0,0.0,0.0,0.0,25362.468586846135,0.0,"(((A,D),C),B)"
26196.661494167703,12353.759628564447,12353.759628564447,24193.717716371157,0.0,0.0,11839.95808780671,0.0,0.0,0.0,0.0,0.0,0.0,2002.9437777965459,"(((B,C),D),A)"
11765.12786961216,22919.380090397957,15563.252550627793,11765.12786961216,0.0,0.0,0.0,3798.1246810156313,0.0,0.0,0.0,0.0,7356.127539770164,0.0,"(((A,D),C),B)"
11248.25867698723,10913.598551449257,10913.598551449257,11248.25867698723,0.0,0.0,6737.493514437326,6402.833388899353,0.0,0.0,0.0,0.0,0.0,0.0,"((A,D),(B,C))"
10811.457220248287,10811.457220248287,12129.473569531336,46399.635934645165,1318.016349283048,0.0,0.0,0.0,0.0,0.0,34270.16236511383,0.0,0.0,0.0,"(((A,B),C),D)"
