Locus,nA,nB,a1,Ea1,Va1,dev,pval_exact,pval_normal,elapsed_seconds,timestamp,status,error
131,100,100,2,50.25125628140704,25.126269051555767,-9.62597262539207,5.572235127087837e-27,3.1058227048167763e-22,15.227,2025-09-17T17:39:47,OK,
132,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.423,2025-09-17T17:40:02,OK,
133,100,100,20,50.25125628140704,25.126269051555767,-6.035029702651558,7.066793806571231e-10,7.946672544993498e-10,15.575,2025-09-17T17:40:17,OK,
134,100,100,26,50.25125628140704,25.126269051555767,-4.838048728404721,1.0171672037773155e-06,6.555999992367936e-07,15.43,2025-09-17T17:40:33,OK,
135,100,100,16,50.25125628140704,25.126269051555767,-6.833017018816117,1.6897451557743665e-12,4.1573543613940845e-12,15.337,2025-09-17T17:40:49,OK,
136,100,100,0,50.25125628140704,25.126269051555767,-10.024966283474349,1.114224180581451e-30,5.9200003295249385e-24,15.312,2025-09-17T17:41:04,OK,
137,100,100,32,50.25125628140704,25.126269051555767,-3.6410677541578838,0.00023966029636768898,0.00013575483292689857,15.147,2025-09-17T17:41:19,OK,
138,100,100,24,50.25125628140704,25.126269051555767,-5.237042386487,1.1183193737178298e-07,8.15851148540766e-08,15.239,2025-09-17T17:41:34,OK,
139,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.461,2025-09-17T17:41:50,OK,
140,100,100,26,50.25125628140704,25.126269051555767,-4.838048728404721,1.0171672037773155e-06,6.555999992367936e-07,15.59,2025-09-17T17:42:05,OK,
141,100,100,26,50.25125628140704,25.126269051555767,-4.838048728404721,1.0171672037773155e-06,6.555999992367936e-07,15.437,2025-09-17T17:42:21,OK,
142,100,100,36,50.25125628140704,25.126269051555767,-2.8430804379933257,0.003785039988754494,0.0022339896281174834,15.519,2025-09-17T17:42:36,OK,
143,100,100,34,50.25125628140704,25.126269051555767,-3.2420740960756045,0.0010350980478647286,0.000593315830844227,15.13,2025-09-17T17:42:52,OK,
144,100,100,10,50.25125628140704,25.126269051555767,-8.029997993062953,2.0542730548600277e-17,4.873713023734399e-16,15.396,2025-09-17T17:43:07,OK,
145,100,100,16,50.25125628140704,25.126269051555767,-6.833017018816117,1.6897451557743665e-12,4.1573543613940845e-12,15.552,2025-09-17T17:43:22,OK,
146,100,100,28,50.25125628140704,25.126269051555767,-4.439055070322442,7.574860218111569e-06,4.5177348548172695e-06,15.216,2025-09-17T17:43:38,OK,
147,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.528,2025-09-17T17:43:53,OK,
148,100,100,28,50.25125628140704,25.126269051555767,-4.439055070322442,7.574860218111569e-06,4.5177348548172695e-06,15.487,2025-09-17T17:44:08,OK,
149,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.58,2025-09-17T17:44:24,OK,
150,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.339,2025-09-17T17:44:39,OK,
151,100,100,22,50.25125628140704,25.126269051555767,-5.636036044569279,9.950371727116057e-09,8.7004486645736e-09,15.326,2025-09-17T17:44:55,OK,
152,100,100,18,50.25125628140704,25.126269051555767,-6.434023360733837,3.9400339397119036e-11,6.213487371345395e-11,15.338,2025-09-17T17:45:10,OK,
153,100,100,20,50.25125628140704,25.126269051555767,-6.035029702651558,7.066793806571231e-10,7.946672544993498e-10,15.346,2025-09-17T17:45:25,OK,
154,100,100,22,50.25125628140704,25.126269051555767,-5.636036044569279,9.950371727116057e-09,8.7004486645736e-09,15.53,2025-09-17T17:45:41,OK,
