Locus,P_Value,pval_exact,pval_normal,reject_mean,reject_cross
209,0.0,0.793435284547114,0.7455654134126762,True,False
210,0.62,0.3340491062402859,0.2799115437617267,False,False
211,0.0,0.4534260221061296,0.3927424456846488,True,False
212,0.32,0.577187926065782,0.5154541933686199,False,False
213,0.0,0.793435284547114,0.7455654134126762,True,False
214,0.06,0.793435284547114,0.7455654134126762,False,False
215,0.24,0.1462319161988962,0.1141101023112072,False,False
216,0.04,0.693739052427785,0.6367081540117681,True,False
217,0.04,0.3340491062402859,0.2799115437617267,True,False
218,0.0,0.4534260221061296,0.3927424456846488,True,False
219,0.0,0.4534260221061296,0.3927424456846488,True,False
220,0.0,0.4534260221061296,0.3927424456846488,True,False
221,0.66,0.793435284547114,0.7455654134126762,False,False
222,0.08,0.0861042833935784,0.064774574299697,False,False
223,0.0,0.9254989684163766,0.9001578354254716,True,False
224,0.64,0.577187926065782,0.5154541933686199,False,False
225,0.0,0.870880621142364,0.8343566651753223,True,False
226,0.0,0.793435284547114,0.7455654134126762,True,False
227,0.78,0.229457108564425,0.1856528506020383,False,False
228,0.08,0.229457108564425,0.1856528506020383,False,False
229,0.06,0.229457108564425,0.1856528506020383,False,False
230,0.0,0.4534260221061296,0.3927424456846488,True,False
231,0.28,0.793435284547114,0.7455654134126762,False,False
232,0.0,0.577187926065782,0.5154541933686199,True,False
233,0.18,0.9987110458915616,0.9977235985991664,False,False
234,0.0,0.1462319161988962,0.1141101023112072,True,False
235,0.28,0.1462319161988962,0.1141101023112072,False,False
236,0.0,0.577187926065782,0.5154541933686199,True,False
237,0.02,0.229457108564425,0.1856528506020383,True,False
238,0.02,0.9604557320527128,0.94446222340395,True,False
239,0.0,0.229457108564425,0.1856528506020383,True,False
240,0.44,0.4534260221061296,0.3927424456846488,False,False
241,0.0,0.9914268572292624,0.9866278355166628,True,False
242,0.0,0.0861042833935784,0.064774574299697,True,False
243,0.7,0.4534260221061296,0.3927424456846488,False,False
244,0.04,0.229457108564425,0.1856528506020383,True,False
245,0.16,0.693739052427785,0.6367081540117681,False,False
246,0.02,0.793435284547114,0.7455654134126762,True,False
247,0.18,0.229457108564425,0.1856528506020383,False,False
248,0.08,0.9254989684163766,0.9001578354254716,False,False
249,0.0,0.9987110458915616,0.9977235985991664,True,False
250,0.0,0.793435284547114,0.7455654134126762,True,False
251,0.0,0.0466774920337587,0.0338643114694606,True,True
252,0.0,0.3340491062402859,0.2799115437617267,True,False
253,0.0,0.4534260221061296,0.3927424456846488,True,False
254,0.0,0.1462319161988962,0.1141101023112072,True,False
255,0.0,0.9254989684163766,0.9001578354254716,True,False
256,0.02,0.229457108564425,0.1856528506020383,True,False
257,0.44,0.1462319161988962,0.1141101023112072,False,False
258,0.9,0.3340491062402859,0.2799115437617267,False,False
259,0.0,0.693739052427785,0.6367081540117681,True,False
260,0.64,0.3340491062402859,0.2799115437617267,False,False
261,0.0,0.1462319161988962,0.1141101023112072,True,False
262,0.04,0.9914268572292624,0.9866278355166628,True,False
263,0.04,0.577187926065782,0.5154541933686199,True,False
264,0.8,0.3340491062402859,0.2799115437617267,False,False
265,0.44,0.9807486618053184,0.9715646561789084,False,False
266,0.0,0.4534260221061296,0.3927424456846488,True,False
267,0.0,0.870880621142364,0.8343566651753223,True,False
268,0.0,0.9914268572292624,0.9866278355166628,True,False
269,0.3,0.229457108564425,0.1856528506020383,False,False
270,0.0,0.870880621142364,0.8343566651753223,True,False
271,0.9,0.3340491062402859,0.2799115437617267,False,False
272,0.02,0.793435284547114,0.7455654134126762,True,False
273,0.0,0.229457108564425,0.1856528506020383,True,False
274,0.0,0.577187926065782,0.5154541933686199,True,False
275,0.06,0.693739052427785,0.6367081540117681,False,False
276,0.36,0.4534260221061296,0.3927424456846488,False,False
277,0.0,0.229457108564425,0.1856528506020383,True,False
278,0.0,0.4534260221061296,0.3927424456846488,True,False
279,0.0,0.229457108564425,0.1856528506020383,True,False
280,0.0,0.870880621142364,0.8343566651753223,True,False
281,0.14,0.870880621142364,0.8343566651753223,False,False
282,0.78,0.693739052427785,0.6367081540117681,False,False
283,0.0,0.229457108564425,0.1856528506020383,True,False
284,0.0,0.577187926065782,0.5154541933686199,True,False
285,0.04,0.229457108564425,0.1856528506020383,True,False
286,0.0,0.9254989684163766,0.9001578354254716,True,False
287,0.04,0.793435284547114,0.7455654134126762,True,False
288,0.02,0.229457108564425,0.1856528506020383,True,False
289,0.04,0.3340491062402859,0.2799115437617267,True,False
290,0.0,0.693739052427785,0.6367081540117681,True,False
291,0.0,0.4534260221061296,0.3927424456846488,True,False
292,0.0,0.693739052427785,0.6367081540117681,True,False
293,0.0,0.9604557320527128,0.94446222340395,True,False
294,0.0,0.4534260221061296,0.3927424456846488,True,False
295,0.0,0.870880621142364,0.8343566651753223,True,False
296,0.24,0.1462319161988962,0.1141101023112072,False,False
297,0.0,0.870880621142364,0.8343566651753223,True,False
298,0.0,0.3340491062402859,0.2799115437617267,True,False
299,0.0,0.229457108564425,0.1856528506020383,True,False
300,0.0,0.0861042833935784,0.064774574299697,True,False
301,0.0,0.577187926065782,0.5154541933686199,True,False
302,0.0,0.9604557320527128,0.94446222340395,True,False
303,0.62,0.870880621142364,0.8343566651753223,False,False
304,0.0,0.793435284547114,0.7455654134126762,True,False
