,Tree1,Tree2,Tree3,Tree4,Tree5,Tree6,Tree7,Tree8,Tree9,Tree10,Tree11,Tree12,Tree13,Tree14,Tree15,Tree16,Tree17,Tree18,Tree19,Tree20,Tree21,Tree22,Tree23,Tree24,Tree25,Tree26,Tree27,Tree28,Tree29,Tree30,Tree31,Tree32,Tree33,Tree34,Tree35,Tree36,Tree37,Tree38,Tree39,Tree40,Tree41,Tree42,Tree43,Tree44,Tree45,Tree46,Tree47,Tree48,Tree49,Tree50
Tree11,120.2000865327744,114.12315331709866,126.98785945471292,117.46052372878728,117.25101125984628,124.6586218090115,112.60139762011666,126.51747354227004,114.64586250473155,118.16340143068489,0.0,121.18514058201224,105.64511111391217,113.20830652037064,112.85084136606986,122.87523805501556,128.43024555945811,125.46869080517632,122.11408288812608,120.81780777395886,130.30585934065087,108.62887462004666,119.15083567148918,115.20246730788185,132.73274646847818,119.60571970068852,115.19707809170458,131.63992265544795,119.41031369783322,121.37364458537157,115.6237276995901,119.31174053458729,131.20135793489004,117.98211752709342,104.722525532028,130.53782210488845,108.60565922585918,106.00051412549408,119.1355029403399,107.2631760395968,119.21383761404196,115.45162735184516,113.7198383169409,105.84453479934284,116.42853652226904,118.97201190756402,110.67995523796353,110.83424961239828,123.73938123904792,120.91154913257154
Tree12,101.1189200875638,109.2089312969494,118.59934492022276,111.71191113171804,110.50173640702882,113.42142124933608,107.70424941871684,115.56623208942965,131.2702889565025,110.82753507904212,121.18514058201224,0.0,105.8159373201788,124.34173302379232,107.21981498087683,123.09395997255636,113.36523195349238,117.1949660752123,115.630969144952,131.33281512233614,124.48779962132372,109.33791149820956,124.33340460303803,114.94402859071434,128.14088497566746,110.74296713247531,111.27179136171765,119.273933091159,127.05196005324224,111.93371950006387,111.65865391098232,116.76748539474248,120.08479740061736,128.06378527270195,106.66929069826108,117.64895131435452,112.6755940418104,125.00375643801443,109.51050838339508,102.91639226039138,109.82047080578036,117.5204442570512,99.8741933868279,97.83706942810704,104.41932293260896,116.0043725604144,99.45649579333327,118.3321554954669,127.47918947201852,122.57590670070876
Tree13,111.29941912827684,93.50505763366328,117.52612220909002,112.45481841903288,104.66006020061452,104.87043862057838,103.45724431234788,122.36718737248638,112.1113236271213,119.48848886883049,105.64511111391217,105.8159373201788,0.0,115.77765164666975,105.63569638703932,111.91605175004452,120.14966388470584,116.78070469618297,98.31071771670084,100.93266294951894,115.03809825272656,103.41193752958516,116.4105246112331,105.93807750048964,117.0477974275074,106.9084265259758,106.19028281829203,109.60750745956254,113.10165154161392,118.001355666053,100.52152702093088,106.9637929984088,109.67152586968224,112.04917578261886,99.2929224238684,105.49994359409835,99.58378411485654,109.1763485699058,107.60643756667268,97.00829098189011,107.6434208379466,106.81613828964792,99.70269985515893,107.34069510422758,99.75493952140324,86.13851434185166,111.06283061367236,106.13552693436968,108.62205863765118,114.64428746084462
Tree14,130.725142541231,119.87632805103377,126.6225813855062,122.334173274887,117.8576515549563,128.09063384788303,118.4596239836528,133.08273161245648,114.79876457791096,107.99365781584558,113.20830652037064,124.34173302379232,115.77765164666975,0.0,105.28272103369666,122.57905741099022,140.80041340836172,134.06009172644545,114.82728606479812,119.40762450785424,123.50141742212936,117.778886926661,118.28563505216806,112.78689266376604,127.5471579926948,117.5136893326848,115.7095454254204,133.37687488310036,130.73056037491116,127.24802133600392,110.38133570100564,122.8159882616598,128.2621250564141,124.16800011188889,109.95456970672753,126.55447260660053,112.58034738654813,119.49278734080632,122.11175820212586,121.22542821109866,119.65590028550592,113.75286574587894,122.01725748439937,120.6169964811002,126.87469292291412,129.0810679356005,108.61677188812304,109.49375996555744,121.04347106715652,118.4320508509381
Tree15,116.26445930625918,110.00072358408272,124.4760879337839,116.21796237453157,110.0657519344188,123.50127863962985,109.01593321018709,122.08615770862968,114.46285224743586,110.01892438039496,112.85084136606986,107.21981498087683,105.63569638703932,105.28272103369666,0.0,114.21603061944494,128.5598757942412,110.2666943906456,111.39115327758256,122.58087457149388,128.75436237468702,110.97330134056396,128.11091376097215,111.80753515153243,125.170405161599,102.08216248327672,94.7573361938752,128.68172339040845,108.84286699624734,129.18529315356943,103.47897144205632,119.76021780098488,116.6554347800922,121.87821645622452,101.40266012349169,110.14104032528056,102.7631467315218,114.8034747346926,109.69235732708287,110.21997502671792,114.33687703524528,105.91040029222044,105.63530910136384,108.76678880418052,100.049005010675,110.37912666387784,109.2582288051122,108.02907924045064,112.92433476046249,116.93918212737996
Tree16,124.6080130844298,125.08582897117276,122.06015428505256,120.453399622645,116.1572287344172,120.10162817594303,121.81026949030264,127.40686803796794,112.41825009180026,122.7310058801445,122.87523805501556,123.09395997255636,111.91605175004452,122.57905741099022,114.21603061944494,0.0,126.65377468869887,128.7173409199821,125.50272976548878,125.41838346287685,133.93567854303913,113.97463792997809,136.75902215573137,110.25307182728044,135.8120107540347,114.4849100769882,119.5567301595451,122.51209516918794,132.83141520544464,141.32608953933553,112.04471838280011,119.8821502045262,132.21584147212832,120.61537939522066,112.3104297230074,118.75785035337024,115.4305378166394,122.4475588236264,129.50312517618224,119.43898403738798,110.3013331730969,127.77751221186196,115.14320539021442,117.13508839059229,108.5501221914804,108.48041475752044,125.90864067518989,114.2891119284785,125.24075696771573,126.9652388178906
Tree17,133.61352910932817,131.95854864957025,119.22783615587996,116.02249144941445,107.61750204777614,129.74026995098995,115.02039967350494,123.82102159149204,130.95340057890417,128.61698061887438,128.43024555945811,113.36523195349238,120.14966388470584,140.80041340836172,128.5598757942412,126.65377468869887,0.0,121.30327808122009,122.28368773997929,139.74999036187077,141.9104194881714,116.7735460700396,138.10050336413673,115.78906361294948,126.20808501837529,126.4611483229314,128.13487188597628,121.36358546574915,135.80487718895748,131.23179846923733,115.4753292232028,125.60268109284128,131.58996158787906,123.40761877535397,112.69808786753144,124.01158928711862,120.62593990307433,116.72527810235916,118.6538717780894,118.04362357098158,129.4266076028439,135.35853640229186,116.5184576935506,116.77054969329356,113.62591247072984,116.08924760685046,124.36640440918184,124.63169094742996,131.72749245623018,135.8367537589115
Tree18,133.09809077894312,119.9788658223036,128.9668604916828,119.48837339944156,115.74301791744838,112.67085272107823,115.59824881850056,111.94433503913456,128.91061323541888,119.56350846101456,125.46869080517632,117.1949660752123,116.78070469618297,134.06009172644545,110.2666943906456,128.7173409199821,121.30327808122009,0.0,120.35158431367886,133.29626414054408,133.61881772889845,124.69262234440627,132.94095276766726,110.51323075611172,123.0105337228173,116.75730837233822,116.56912866951428,124.1158438900076,108.73171205112833,121.500750252951,109.27138881906984,108.80520709200792,114.764989987176,119.8675339250223,106.8450362596679,117.8612883932534,114.43042550162951,116.20914456448152,117.92526763897706,114.42873277414182,121.0887662030601,125.8389731840013,109.59799402851434,120.83245637496464,110.78263584865938,119.3309042111821,128.32202310551577,120.92903825414848,124.6415065233298,122.95509317434872
Tree19,118.22511082405708,110.82065792539836,116.21043251268816,125.57214210194532,112.74408454333866,123.70422028129674,105.9423251799878,131.82865824885508,109.92182480803346,120.5576736377836,122.11408288812608,115.630969144952,98.31071771670084,114.82728606479812,111.39115327758256,125.50272976548878,122.28368773997929,120.35158431367886,0.0,120.80550711332668,115.02208005270352,115.14984982097349,128.19535285785776,118.02579818726213,125.17963223793114,114.76036723475968,112.0100559640782,99.02832460356834,121.059746982344,129.85954248342512,109.5857941024482,119.22213639289107,115.0033642060513,125.07737263556989,101.54500810936578,110.31386283019631,110.31682864127195,124.99821400263492,120.250501976418,112.99176501681345,116.24738770292008,126.38415063397144,119.55140435661204,111.3334133949349,110.9882148703065,114.3044386745438,112.62331327197604,122.28092898908277,123.75233375105178,127.00374752026848
Tree20,123.60799730275173,118.80149073237904,131.1772319013607,126.8991603733744,128.30066283424566,129.77720696707655,121.4591774991728,139.63408893594902,118.04743915118064,119.74545695786686,120.81780777395886,131.33281512233614,100.93266294951894,119.40762450785424,122.58087457149388,125.41838346287685,139.74999036187077,133.29626414054408,120.80550711332668,0.0,132.46951908731754,119.22562823000924,126.55969282867312,120.34797890174052,139.70202912076172,114.17947356465056,113.93280376381186,132.2485197516511,124.96973517564577,133.80709682805738,122.67132292642268,121.59830042186168,124.73932626076352,116.3973690936975,117.16355777347502,122.94622107084076,111.419540410796,119.70305587320948,120.3280170877734,120.55701895302988,124.18865950866083,126.48345304824764,118.08807495911093,127.58554215742792,115.15583204029228,123.3115468003769,121.176816544695,118.7069218135632,126.389980882391,121.36057486224286
